"공사규모별(1)","공사기간별(1)",2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"공사규모별(1)","공사기간별(1)",전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"공사규모별(1)","공사기간별(1)",건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건)
"15억~20억원 미만","9개월~12개월미만",580,177,47,13,33,20,8,22,3,134,6,9,13,9,28,31,19,8
"15억~20억원 미만","12개월~15개월미만",414,151,29,11,18,14,11,6,1,97,4,6,7,12,13,17,14,3
"15억~20억원 미만","15개월~18개월미만",342,127,18,4,17,19,14,1,1,86,1,5,4,7,11,14,9,4
"15억~20억원 미만","18개월~21개월미만",249,80,18,6,11,5,11,3,1,59,2,9,5,6,8,10,13,2
"15억~20억원 미만","21개월~24개월미만",215,72,13,5,7,16,9,5,3,40,6,8,5,5,10,5,4,2
"15억~20억원 미만","24개월이상",210,54,13,7,4,8,7,5,-,61,10,7,13,2,8,7,3,1
"20억~30억원 미만","계",2961,1049,184,86,160,133,91,71,8,618,29,86,66,59,116,100,81,24
"20억~30억원 미만","1개월미만",79,29,1,2,5,2,-,2,-,24,4,3,1,-,2,1,1,2
"20억~30억원 미만","1개월~3개월미만",47,29,1,2,2,-,1,2,-,6,-,2,-,-,-,-,2,-
"20억~30억원 미만","3개월~6개월미만",203,78,13,2,6,4,2,14,-,37,1,2,3,5,9,15,7,5
"20억~30억원 미만","6개월~9개월미만",386,136,25,7,20,9,12,13,1,91,3,16,7,5,16,14,6,5
"20억~30억원 미만","9개월~12개월미만",589,188,38,13,39,14,22,13,1,120,4,17,16,14,31,28,24,7
"20억~30억원 미만","12개월~15개월미만",385,130,25,12,21,17,18,7,3,84,2,7,11,7,21,6,12,2
"20억~30억원 미만","15개월~18개월미만",386,167,22,8,22,26,8,4,-,67,4,9,3,8,11,15,11,1
"20억~30억원 미만","18개월~21개월미만",330,127,17,14,20,16,9,6,2,71,3,10,5,8,8,8,5,1
"20억~30억원 미만","21개월~24개월미만",245,83,20,11,15,22,3,5,-,50,3,6,3,3,9,5,7,-
"20억~30억원 미만","24개월이상",311,82,22,15,10,23,16,5,1,68,5,14,17,9,9,8,6,1
"30억~50억원 미만","계",2192,871,143,59,101,92,57,55,8,436,9,53,48,26,96,65,56,17
"30억~50억원 미만","1개월미만",47,16,4,1,2,2,2,-,-,14,-,-,2,2,-,1,1,-
"30억~50억원 미만","1개월~3개월미만",23,16,-,-,1,-,-,2,-,3,-,-,-,-,-,1,-,-
"30억~50억원 미만","3개월~6개월미만",129,61,8,3,8,2,3,6,1,23,-,4,2,1,4,2,1,-
"30억~50억원 미만","6개월~9개월미만",213,98,7,5,8,5,5,5,1,39,1,8,4,4,9,8,5,1
"30억~50억원 미만","9개월~12개월미만",362,143,17,4,16,8,12,15,-,81,2,9,8,1,19,12,13,2
"30억~50억원 미만","12개월~15개월미만",330,124,26,10,21,14,7,5,3,73,-,4,6,1,17,9,7,3
"30억~50억원 미만","15개월~18개월미만",280,110,14,9,13,18,4,7,1,55,2,9,4,5,10,12,4,3
"30억~50억원 미만","18개월~21개월미만",243,103,18,9,11,10,10,1,-,37,1,7,6,7,6,7,7,3
"30억~50억원 미만","21개월~24개월미만",207,92,10,7,7,11,4,2,-,40,1,2,4,1,12,4,7,3
"30억~50억원 미만","24개월이상",358,108,39,11,14,22,10,12,2,71,2,10,12,4,19,9,11,2
"50억원 이상","계",2395,1071,209,101,73,96,55,76,11,356,5,53,57,33,89,45,53,12
"50억원 이상","1개월미만",31,15,1,1,1,-,1,2,-,4,-,2,1,-,1,1,1,-
"50억원 이상","1개월~3개월미만",12,9,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1
"50억원 이상","3개월~6개월미만",64,32,5,1,2,1,1,5,-,9,-,1,2,-,1,2,2,-
"50억원 이상","6개월~9개월미만",129,56,4,1,4,1,5,8,-,22,-,5,3,1,8,7,3,1
"50억원 이상","9개월~12개월미만",250,105,15,3,8,9,3,16,2,45,1,7,6,3,15,5,4,3
"50억원 이상","12개월~15개월미만",274,109,17,16,7,10,5,6,1,55,2,10,5,3,11,6,9,2
"50억원 이상","15개월~18개월미만",287,138,21,12,11,13,4,7,-,42,2,4,10,5,9,5,3,1
"50억원 이상","18개월~21개월미만",267,112,18,18,13,14,8,3,2,35,-,12,2,7,11,5,6,1
"50억원 이상","21개월~24개월미만",303,139,37,14,4,10,10,5,3,41,-,7,7,7,9,-,10,-
"50억원 이상","24개월이상",778,356,91,35,23,38,18,24,3,102,-,5,21,7,24,13,15,3
